Study;Subsample;Clusters;Pairs;Measure;MonoN;MonoMean;MonoSD;BiN;BiMean;BiSD;Year_0f_Publication;Peer;Country;Sample description;L1;L2;LanguagePair;AgeGroup;B_AgeM;B_AgeSD;M_AgeM;M_AgeSD;AoA_early;AoA_child;Prof_L2;Immigrant;IQ_match;Educ_match;Vocab_match;Stimuli;StimulusMaterial;TestingLanguage;Task;Domain;TaskMeasure;MeasureType;TaskVersion;RT/ACC;Reverse
Gollan et al. (2002);1;80;98;4;30;6,17;2,15;30;8,13;2,71;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Names L (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;6,53;1,68;30;7,3;2,58;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Occupations (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;11,87;1,64;30;15,07;2,7;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Sports (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;2,78;2,14;30;10,07;8,67;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Names M (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;10,27;1,91;30;14,5;3,1;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Musical instruments (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;11,67;3,77;30;13,57;2,88;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;College majors (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;4;30;8;4,36;30;11;4,07;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Countries in Europe (ENG/unclear if L1 or L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;12,67;4,55;30;13,73;3,4;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter D (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;14,53;2,56;30;14,8;3,68;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter C (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;13;2,36;30;13,27;2,89;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter R (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;13,8;2,65;30;15,6;3,44;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter P (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;10,13;2,64;30;11,73;3,19;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter E (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;10,67;3,2;30;12,33;3,12;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter L (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;12,93;3,53;30;13,47;4,2;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter F (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;12,13;2,67;30;12,37;3,16;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter M (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;9,8;3,63;30;13,07;4,01;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter A (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Gollan et al. (2002);1;80;98;9;30;13,87;4,03;30;16,73;3,69;2002;peer;USA;Young adults;ENG;SPA;EngSpa;younger;20;2;19,6;1,6;other;child;high;Two;NA;NA;NA;Letter S (ENG/unclear if L1 or L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Rosselli et al. (2002);1;169;214;744;11;97,91;27,44;71;112,85;30,18;2002;peer;USA;Young adults;SPA;ENG;EngSpa;younger;31,98;13,14;40,91;15,17;other;other;high;NA;NA;1;NA;Words (SPA, 90% L1);V;0;Stroop;Inhibition;StroopInhibition;Incongruent;StroopWordColor;1;
Rosselli et al. (2002);1;169;214;743;11;45,73;5,39;71;46,89;10,01;2002;peer;USA;Young adults;SPA;ENG;EngSpa;younger;31,98;13,14;40,91;15,17;other;other;high;NA;NA;1;NA;Words (SPA, 90% L1);V;0;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;1;
Boutla (2003);1;44;55;508;20;7,05;1,19;12;6,08;1,24;2003;other;USA;Younger adults;ENG;ASL;other;younger;40;NA;23;NA;NA;NA;NA;NA;NA;NA;NA;Digits (L2);V;2;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Bialystok et al. (2004);1;12;16;361;10;535;231,2;10;40;32,2;2004;peer;CAN/IND;Younger adults;ENG;TAM;other;younger;43;7,3;43;7,3;early;child;high;NA;NA;1;1;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Bialystok et al. (2004);1;12;16;360;10;770;132,8;10;497;252,5;2004;peer;CAN/IND;Younger adults;ENG;TAM;other;younger;43;7,3;43;7,3;early;child;high;NA;NA;1;1;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;Congruent;SimonColors;1;
Bialystok et al. (2004);2;13;17;363;10;1713;971,7;10;748;806,6;2004;peer;CAN/IND;Older adults;ENG;TAM;other;older;72,3;8,7;71,6;7,5;early;child;high;NA;NA;1;1;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Bialystok et al. (2004);2;13;17;362;10;1437;560,6;10;911;374,2;2004;peer;CAN/IND;Older adults;ENG;TAM;other;older;72,3;8,7;71,6;7,5;early;child;high;NA;NA;1;1;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;Congruent;SimonColors;1;
Bialystok et al. (2004);3;14;18;365;32;123;88,8;32;8;27,3;2004;peer;CAN/IND/HK;Younger adults;ENG;"TAM (20); CAN (12)";other;younger;42,6;8,8;42,6;8,8;early;child;high;NA;1;1;1;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Bialystok et al. (2004);3;14;18;364;32;667;76,2;32;382;39,9;2004;peer;CAN/IND/HK;Younger adults;ENG;"TAM (20); CAN (12)";other;younger;42,6;8,8;42,6;8,8;early;child;high;NA;1;1;1;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;Congruent;SimonColors;1;
Bialystok et al. (2004);3;14;18;340;32;24;4,8;32;25,1;4,8;2004;peer;CAN/IND/HK;Younger adults;ENG;"TAM (20); CAN (12)";other;younger;42,6;8,8;42,6;8,8;early;child;high;NA;1;1;1;Double digits (ENG/L2);V;2;LNS;WM;LNS;LNS;NumberSequencingSpan;3;reversed
Bialystok et al. (2004);3;14;18;325;32;28;4,5;32;28,8;4,6;2004;peer;CAN/IND/HK;Younger adults;ENG;"TAM (20); CAN (12)";other;younger;42,6;8,8;42,6;8,8;early;child;high;NA;1;1;1;Words (ENG/L2);V;2;LNS;WM;LNS;LNS;AlphaSpan;3;reversed
Bialystok et al. (2004);4;15;19;366;15;583;174,9;15;212;180,6;2004;peer;CAN/IND;Older adults;ENG;"TAM (9); FRE (6)";other;older;70,2;6,9;70,4;5,6;early;child;high;NA;1;1;1;2 colours/squares;NV;NA;Simon;Inhibition;SimonInhibition;Effect;SimonColors;1;
Bialystok et al. (2004);4;15;19;367;15;1012;216,2;15;1046;204;2004;peer;CAN/IND;Older adults;ENG;"TAM (9); FRE (6)";other;older;70,2;6,9;70,4;5,6;early;child;high;NA;1;1;1;2 colours/squares;NV;NA;Simon;Monitoring;SimonMonitoring;Congruent;SimonColors;1;
Bialystok et al. (2004);4;15;19;341;15;23;5,1;15;21,6;2,8;2004;peer;CAN/IND;Older adults;ENG;"TAM (9); FRE (6)";other;older;70,2;6,9;70,4;5,6;early;child;high;NA;1;1;1;Double digits (ENG/L1, L2);V;0;LNS;WM;LNS;LNS;NumberSequencingSpan;3;reversed
Bialystok et al. (2004);4;15;19;326;15;24;2,9;15;22,4;1,9;2004;peer;CAN/IND;Older adults;ENG;"TAM (9); FRE (6)";other;older;70,2;6,9;70,4;5,6;early;child;high;NA;1;1;1;Words (ENG/L1, L2);V;0;LNS;WM;LNS;LNS;AlphaSpan;3;reversed
Bialystok et al. (2004);5;16;20;369;10;766;68,4;10;358;29,6;2004;peer;CAN;Younger adults;ENG;FRE;EngFre;younger;40,6;8,1;38,8;8,5;early;child;high;Three;1;1;1;Side-2 colours condition/squares;NV;NA;Simon;Inhibition;SimonInhibition;Incongruent;SimonColors;1;
Bialystok et al. (2004);5;16;20;368;10;532;66;10;335;26,7;2004;peer;CAN;Younger adults;ENG;FRE;EngFre;younger;40,6;8,1;38,8;8,5;early;child;high;Three;1;1;1;Side-2 colours condition/squares;NV;NA;Simon;Monitoring;SimonMonitoring;Congruent;SimonColors;1;
Bialystok et al. (2004);5;16;20;342;10;28;4;10;25,4;4,2;2004;peer;CAN;Younger adults;ENG;FRE;EngFre;younger;40,6;8,1;38,8;8,5;early;child;high;Three;1;1;1;Double digits (ENG/L1, L2);V;0;LNS;WM;LNS;LNS;NumberSequencingSpan;3;reversed
Bialystok et al. (2004);5;16;20;327;10;28,1;3,4;10;27,8;3,8;2004;peer;CAN;Younger adults;ENG;FRE;EngFre;younger;40,6;8,1;38,8;8,5;early;child;high;Three;1;1;1;Words (ENG/L1, L2);V;0;LNS;WM;LNS;LNS;AlphaSpan;3;reversed
Bialystok et al. (2005);1;17;21;371;10;499;94;10;475;80;2005;peer;CAN;Young adults;ENG;FRE;EngFre;younger;NA;NA;NA;NA;early;child;high;Three;NA;NA;1;Squares;NV;NA;Simon;Inhibition;SimonInhibition;Incongruent;SimonColors;1;
Bialystok et al. (2005);1;17;21;370;10;425;76;10;415;64;2005;peer;CAN;Young adults;ENG;FRE;EngFre;younger;NA;NA;NA;NA;early;child;high;Three;NA;NA;1;Squares;NV;NA;Simon;Monitoring;SimonMonitoring;Congruent;SimonColors;1;
Bialystok et al. (2005);2;17;22;373;10;499;94;9;397;62;2005;peer;CAN;Young adults;ENG;CAN;other;younger;NA;NA;NA;NA;early;child;high;NA;NA;NA;1;Squares;NV;NA;Simon;Inhibition;SimonInhibition;Incongruent;SimonColors;1;
Bialystok et al. (2005);2;17;22;372;10;425;76;9;348;46;2005;peer;CAN;Young adults;ENG;CAN;other;younger;NA;NA;NA;NA;early;child;high;NA;NA;NA;1;Squares;NV;NA;Simon;Monitoring;SimonMonitoring;Congruent;SimonColors;1;
Bialystok et al. (2006);3;18;23;339;24;15,4;5,1;24;16;4,8;2006;peer;CAN/USA;Older adults;ENG;ITA;other;older;63,2;10,7;64,7;10,6;other;child;high;NA;1;1;1;Numbers (ENG/L1, L2);V;0;LNS;WM;LNS;LNS;NumberSequencingSpan;3;reversed
Bialystok, Craik, & Ryan (2006);1;25;32;36;24;0,15;0,14;24;0,19;0,15;2006;peer;CAN;Undergraduate students;ENG;> 2;other;younger;20,8;NA;20,7;NA;early;child;high;NA;NA;1;NA;Eye color as cue;NV;NA;Antisaccade;Inhibition;AntisaccadeInhibition;AntisaccadeTrials;AntisaccadeFaces;2;
Bialystok, Craik, & Ryan (2006);2;26;33;37;24;0,19;0,18;24;0,19;0,15;2006;peer;CAN;Members of senior researcher pool;ENG;> 2;other;older;71,3;NA;70,4;NA;other;child;high;NA;NA;1;NA;Eye color as cue;NV;NA;Antisaccade;Inhibition;AntisaccadeInhibition;AntisaccadeTrials;AntisaccadeFaces;2;
Bialystok, Craik, & Ryan (2006);3;27;34;38;24;0,01;0,02;24;0,01;0,03;2006;peer;CAN;Undergraduate students;ENG;> 2;other;younger;23,9;NA;25,6;NA;NA;NA;high;NA;NA;1;NA;Eye color as cue;NV;NA;Antisaccade;Inhibition;AntisaccadeInhibition;AntisaccadeTrials;AntisaccadeFaces;2;
Bialystok, Craik, & Ryan (2006);4;28;35;39;24;0,02;0,02;24;0,03;0,04;2006;peer;CAN;Members of senior researcher pool;ENG;> 2;other;older;64,5;NA;66,9;NA;NA;NA;high;NA;NA;1;NA;Eye color as cue;NV;NA;Antisaccade;Inhibition;AntisaccadeInhibition;AntisaccadeTrials;AntisaccadeFaces;2;
Craik & Bialystok (2006);1;58;73;312;15;36,5;8,5;15;34,8;7,6;2006;peer;CAN;Young adults;ENG;> 2;other;younger;19,5;1,2;20,9;2,8;early;child;high;NA;NA;1;3;Words (no information on language);V;0;LNS;WM;LNS;LNS;AlphaSpan;3;reversed
Craik & Bialystok (2006);1;58;73;512;15;74,1;22,9;15;66,3;23,3;2006;peer;CAN;Young adults;ENG;> 2;other;younger;19,5;1,2;20,9;2,8;early;child;high;NA;NA;1;3;Digits (no information on language);V;0;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Craik & Bialystok (2006);2;59;74;313;15;21,4;10,7;15;33,5;12,7;2006;peer;CAN;Older adults;ENG;> 2;other;older;68,8;6,1;70,3;4,3;other;child;high;NA;NA;1;3;Words (no information on language);V;0;LNS;WM;LNS;LNS;AlphaSpan;3;reversed
Craik & Bialystok (2006);2;59;74;513;15;52,5;23;15;71,8;27,5;2006;peer;CAN;Older adults;ENG;> 2;other;older;68,8;6,1;70,3;4,3;other;child;high;NA;NA;1;3;Digits (no information on language);V;0;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Ransdell et al. (2006);1;162;206;115;48;37,9;11,3;58;35,6;9,8;2006;peer;USA;University students;ENG;> 2;other;younger;NA;NA;NA;NA;NA;NA;NA;One;NA;1;NA;Words (L1, L2);V;0;ComplexSpan;WM;ComplexSpan;ComplexSpan;ReadingSpan;3;reversed
Ransdell et al. (2006);2;162;207;116;31;44,8;5,64;58;35,6;9,8;2006;peer;USA & FRA;University students;ENG;FRE;EngFre;younger;NA;NA;NA;NA;other;child;NA;One;NA;1;NA;Words (L1);V;1;ComplexSpan;WM;ComplexSpan;ComplexSpan;ReadingSpan;3;reversed
DePape (2007);1;66;84;635;24;764,7;166,1;15;661,9;164,8;2007;other;CAN;University students;ENG;> 2;other;younger;22,7;3,7;23,5;3,8;NA;NA;NA;NA;1;1;NA;"Sound (_ahhh"" either in high or low pitch)";V;0;Stroop;Inhibition;StroopInhibition;Incongruent;AuditoryStroop;1;
DePape (2007);1;66;84;664;24;561,1;79,8;15;494,2;63;2007;other;CAN;University students;ENG;> 2;other;younger;22,7;3,7;23,5;3,8;NA;NA;NA;NA;1;1;NA;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Incongruent;SpatialStroop;1;
DePape (2007);1;66;84;665;24;533,2;88,5;15;470,5;49,7;2007;other;CAN;University students;ENG;> 2;other;younger;22,7;3,7;23,5;3,8;NA;NA;NA;NA;1;1;NA;Arrows;NV;NA;Stroop;Monitoring;StroopMonitoring;Congruent;SpatialStroop;1;
DePape (2007);1;66;84;634;24;675,1;126;15;621,5;127,2;2007;other;CAN;University students;ENG;> 2;other;younger;22,7;3,7;23,5;3,8;NA;NA;NA;NA;1;1;NA;"Sound (_ahhh"" either in high or low pitch)";V;0;Stroop;Monitoring;StroopMonitoring;Congruent;AuditoryStroop;1;
Fernandes et al. (2007);1;71;89;521;26;16,7;1,5;26;16,8;1,5;2007;peer;CAN/UK;Undergraduate students;ENG;> 2;other;younger;19,8;0,3;21,2;0,5;early;child;high;NA;3;1;3;Digits (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;All;DigitSpan;3;reversed
Fernandes et al. (2007);2;72;90;522;26;16,7;0,9;26;15,8;1,2;2007;peer;CAN/UK;Older adults;ENG;> 2;other;older;69,7;0,8;70,5;0,9;other;child;high;NA;3;1;3;Digits (no information on L1/L2);V;0;SimpleSpan;WM;SimpleSpan;All;DigitSpan;3;reversed
Nikolova (2007);1;142;178;737;12;861,03;87,28;12;768,29;59,59;2007;other;USA;University students and postgraduates from a non-public agency offering behavior services for children with developmental disabilities;ENG;> 2;other;younger;NA;NA;NA;NA;early;child;high;NA;NA;1;NA;Words (ENG/unclear if L1 or L2);V;0;Stroop;Inhibition;StroopInhibition;Incongruent;StroopWordColor;1;
Nikolova (2007);1;142;178;736;12;774,81;72,44;12;750,81;66,12;2007;other;USA;University students and postgraduates from a non-public agency offering behavior services for children with developmental disabilities;ENG;> 2;other;younger;NA;NA;NA;NA;early;child;high;NA;NA;1;NA;Words (ENG/unclear if L1 or L2);V;0;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;1;
Nikolova (2007);3;143;179;739;17;889,15;129,71;17;759,25;62,24;2007;other;USA;Postgraduates from a non-public agency offering behavior services for children with developmental disabilities;ENG;> 2;other;younger;30,53;4,37;30,35;3,46;other;child;high;Three;NA;1;NA;Words (ENG/unclear if L1 or L2);V;0;Stroop;Inhibition;StroopInhibition;Incongruent;StroopWordColor;1;
Nikolova (2007);3;143;179;738;17;795,83;92,76;17;744,96;61,09;2007;other;USA;Postgraduates from a non-public agency offering behavior services for children with developmental disabilities;ENG;> 2;other;younger;30,53;4,37;30,35;3,46;other;child;high;Three;NA;1;NA;Words (ENG/unclear if L1 or L2);V;0;Stroop;Monitoring;StroopMonitoring;Congruent;StroopWordColor;1;
Nikolova (2007);3;143;179;554;17;9,82;1,74;17;9,65;1,97;2007;other;USA;Postgraduates from a non-public agency offering behavior services for children with developmental disabilities;ENG;> 2;other;younger;30,53;4,37;30,35;3,46;other;child;high;Three;NA;1;NA;Digits (ENG/unclear if L1 or L2);V;0;SimpleSpan;WM;SimpleSpan;Forward;DigitSpan;3;reversed
Nikolova (2007);3;143;179;555;17;7,12;2,15;17;5,71;1,86;2007;other;USA;Postgraduates from a non-public agency offering behavior services for children with developmental disabilities;ENG;> 2;other;younger;30,53;4,37;30,35;3,46;other;child;high;Three;NA;1;NA;Digits (ENG/unclear if L1 or L2);V;0;SimpleSpan;WM;SimpleSpan;Backward;DigitSpan;3;reversed
Portocarrero et al. (2007);1;157;198;71;34;46,2;9,1;32;54,8;10,6;2007;peer;USA;Undergraduate students;ENG;> 2;other;younger;NA;NA;NA;NA;other;other;high;One;NA;1;3;Total of animals, kitchen items and actions (L2);V;2;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Portocarrero et al. (2007);1;157;198;298;39;35;7,5;39;36,9;10,1;2007;peer;USA;Undergraduate students;ENG;> 2;other;younger;NA;NA;NA;NA;other;other;high;One;NA;1;3;Letters FAS (L2);V;2;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Badzakova-Trajkov (2008);1;4;4;675;13;704,46;183,6;11;815,82;207,15;2008;other;NZL;Young adults (monolinguals university students);ENG;MAC;other;younger;27,32;6,87;31,28;8,28;other;other;other;NA;NA;NA;NA;Words (MAC/L1);V;1;Stroop;Inhibition;StroopInhibition;Incongruent;StroopWordColor;1;
Badzakova-Trajkov (2008);2;5;5;676;13;7,48;3,92;10;6,33;2,87;2008;other;NZL;Young adults (monolinguals university students);ENG;MAC;other;younger;25,2;2,62;27,46;5,99;other;other;high;NA;NA;NA;NA;Words (MAC/L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Badzakova-Trajkov (2008);3;5;6;677;13;7,48;3,92;10;7,44;3,49;2008;other;NZL;Young adults (monolinguals university students);ENG;GER;other;younger;25,6;1,84;27,46;5,99;other;other;high;One;NA;NA;NA;Words (GER/L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Badzakova-Trajkov (2008);4;6;7;678;16;18,27;11,97;12;9,07;8,69;2008;other;NZL;Young adults (monolinguals university students);ENG;MAC;other;younger;23,98;2,88;27,09;7,06;other;other;high;One;NA;NA;NA;Words (MAC/L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Badzakova-Trajkov (2008);5;6;8;679;16;18,27;11,97;12;9,52;8,91;2008;other;NZL;Young adults (monolinguals university students);ENG;GER;other;younger;26,25;3,91;27,09;7,06;other;other;high;One;NA;NA;NA;Words (GER/L1);V;1;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
Bialystok et al. (2008a);1;19;24;349;24;95,9;2,7;24;96,2;3,5;2008;peer;CAN;Young adults;ENG;> 2;other;younger;19,7;NA;20,7;NA;NA;NA;high;One;NA;1;3;Digits;V;0;SART;Attention;SART;SART_Acc;SART;2;reversed
Bialystok et al. (2008a);1;19;24;43;24;21,3;3,8;24;23,3;5,4;2008;peer;CAN;Young adults;ENG;> 2;other;younger;19,7;NA;20,7;NA;NA;NA;high;One;NA;1;3;Animals (ENG/no information on L1/L2);V;0;CategoryFluency;Fluency;CategoryFluency;CategoryFluency;CategoryFluency;3;reversed
Bialystok et al. (2008a);1;19;24;269;24;42,4;11,1;24;49,8;7,4;2008;peer;CAN;Young adults;ENG;> 2;other;younger;19,7;NA;20,7;NA;NA;NA;high;One;NA;1;3;Letters FAS (ENG/no information on L1/L2);V;0;LetterFluency;Fluency;LetterFluency;LetterFluency;LetterFluency;3;reversed
Bialystok et al. (2008a);1;19;24;654;24;8,2;20,2;24;22,3;35,2;2008;peer;CAN;Young adults;ENG;> 2;other;younger;19,7;NA;20,7;NA;NA;NA;high;One;NA;1;3;Arrows;NV;NA;Stroop;Inhibition;StroopInhibition;Effect;SpatialStroop;1;
Bialystok et al. (2008a);1;19;24;681;24;234;87;24;176;78;2008;peer;CAN;Young adults;ENG;> 2;other;younger;19,7;NA;20,7;NA;NA;NA;high;One;NA;1;3;Words (ENG/no information on L1/L2);V;0;Stroop;Inhibition;StroopInhibition;Effect;StroopWordColor;1;
